id,name_primary,name_alt1,name_alt2,name_alt3,group,country,river_area,district_resort,lat,lng,coord_confidence,notes,source,mz_clinic
237,Kapasikélé,Kapasikelé,Kapasikelé,,Saramaka,Suriname,Suriname River reservoir (lower),Klaaskreek,5.078,-55.015,low,Saramaka transmigration village in Klaaskreek resort; 4 kapiteins 1 basja; Planbureau 2013,Planbureau Suriname Table 3 Brokopondo 2013,no
238,Karmel,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,3.850,-55.650,medium,Saramaka village with MZ health post on Upper Suriname River; no individual Wikipedia article; confirmed by MZ clinic list,Wikipedia (Medische Zending) — MZ map,yes
239,Klaaskreek,,,,Saramaka,Suriname,Suriname River reservoir (lower),Klaaskreek,5.180674,-55.078264,high,Saramaka transmigration village; main village of Klaaskreek resort; 12 kapiteins 3 basjas; MZ health post; Planbureau 2013; MZ poli confirmed; patient base ~1700; 1 GZA; 3 assistants; pharmacy; GPS verified by Google Earth,Planbureau Suriname Table 3 Brokopondo 2013,yes
240,Koemboe,,,,Saramaka,Suriname,Gran Rio / Upper Suriname River,Boven Suriname,4.131437,-55.436576,high,Saramaka village on Gran Rio south of Malobi; GPS verified by Google Earth,Google Earth KML — kwierenga,no
241,Koffiekamp,,,,Saramaka,Suriname,Sara Creek (submerged),Brownsweg / Sarakreek,5.03,-55.100,low,Original Saramaka village submerged by Brokopondo Reservoir 1964; federation of 3 settlements (Maipa-ondo Misidjan lo 1793; Baka Mbuju Njanfai lo; Maria Hartmann mission 1851); replaced by Nieuw-Koffiekamp; 6 basjas listed in Planbureau suggesting some population remains or name persists; Planbureau 2013,Planbureau Suriname Table 3 Brokopondo 2013,no
242,Kumbasula,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,3.84,-56.090,medium,Village on Upper Suriname River list,Wikipedia (Upper Suriname River),no
243,Laduani,Ladoani,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.69,-55.545,high,Small village adjacent to Aurora; location of Aurora health centre and Laduani Airstrip; medical post,Wikipedia (Aurora Suriname) / Boven Suriname,yes
244,Langu,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,3.96,-56.060,medium,Village on Upper Suriname River list,Wikipedia (Upper Suriname River),no
245,Lespansi,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.55,-55.660,medium,Village on Upper Suriname River list,Wikipedia (Upper Suriname River),no
246,Makambi,,,,Saramaka,Suriname,Lower Suriname River / reservoir,Brownsweg,5.024,-55.166,low,Saramaka village near Brownsweg; 8 basjas; Planbureau 2013,Planbureau Suriname Table 3 Brokopondo 2013,no
247,Malrosee,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.400516,-55.367780,high,Saramaka village on Upper Suriname River; GPS verified by Google Earth,Google Earth KML — kwierenga,no
248,Mujékiki,Mujekiki,,,Saramaka,Suriname,Suriname River reservoir (lower),Klaaskreek,5.075,-55.010,low,Saramaka transmigration village in Klaaskreek resort; 4 kapiteins 1 basja; Planbureau 2013,Planbureau Suriname Table 3 Brokopondo 2013,no
249,Nieuw Aurora,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.695,-55.542,high,Extension of Aurora; school achieved 100% graduation rate 2017; part of Aurora twin-village cluster,Wikipedia (Aurora Suriname),no
250,Nieuw Ganze,Nieuw Ganzee,,,Saramaka,Suriname,Lower Suriname River / reservoir,Brownsweg,5.008,-55.176,medium,Post-dam Saramaka resettlement village near Brownsweg; large EBG school named Ds. R.M. Schmidt (23 teachers 434 pupils) — biggest school in Brownsweg resort; distinct from submerged Ganzee (1964) and from Ganze settlement already listed; Planbureau 2013,Planbureau Suriname Table 4 Brokopondo 2013,no
251,Nieuw-Lombe,Nieuw Lombe,Nyun-Lombe,,Saramaka,Suriname,Suriname River (lower reservoir),Klaaskreek,5.070,-55.000,high,Saramaka transmigration village in Brokopondo District; Dutch name Nieuw Lombe; Saramaccan name Nyun-Lombe; located opposite Suriname River near Klaaskreek and former plantation Baboenhol in Beneden-Stuwmeergebied (lower reservoir area); no running water since 2012 per local reports; school,Wikipedia (Nieuw-Lombe Dutch),yes
252,Njun Aurora,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,,,low,Saramaka village; Boven Suriname resort; Planbureau 2013; school: EBGS J.Arabie; electricity; piped water; sports facility; bestuursopzichter present; church: EBGS,Planbureau Suriname Table 3.3 Sipaliwini 2013,no
253,Njun Lombe,Nieuw Lombe,Nyun-Lombe,,Saramaka,Suriname,Suriname River reservoir (lower),Klaaskreek,5.07,-55.000,high,Saramaka transmigration village; 9 kapiteins 2 basjas; no running water since 2012; Planbureau 2013 confirms settlement; alternate primary name used in Planbureau source; MZ poli confirmed; patient base ~905; 1 GZA; 2 assistants; pharmacy,Planbureau Suriname Table 3 Brokopondo 2013,yes
254,Njun kondre,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,,,low,Saramaka village; Boven Suriname resort; Planbureau 2013; electricity,Planbureau Suriname Table 3.3 Sipaliwini 2013,no
255,Padalafanti,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.22,-55.940,medium,Village on Upper Suriname River list; Umansanti listed nearby,Wikipedia (Upper Suriname River),no
256,Palulubasu,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,,,low,Saramaka village; Boven Suriname resort; Planbureau 2013; electricity,Planbureau Suriname Table 3.3 Sipaliwini 2013,no
257,Pamboko,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,,,low,Saramaka village; Boven Suriname resort; Planbureau 2013; school: RKBO Ptr.Voorbraak; electricity; piped water; church: RK,Planbureau Suriname Table 3.3 Sipaliwini 2013,no
258,Penpen,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,,,low,Saramaka village; Boven Suriname resort; Planbureau 2013,Planbureau Suriname Table 3.3 Sipaliwini 2013,no
259,Pikin Slee,Pikienslee,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.254652,-55.443449,high,Second largest Saramaka village (~3000-4000 people); home of Saamaka Maroon Museum (founded 14 Nov 2011); Winti religion observed; Totomboti woodcarving foundation; site of grand council meetings; eco-resort Pasensie; Rastafari woodcarvers; GPS verified by Google Earth,Wikipedia (Pikin Slee) / multiple,no
260,Pikinpada,,,,Saramaka,Suriname,Upper Suriname River (lower),Boven Suriname,4.78,-55.500,medium,Village near reservoir / lower upper Suriname,Wikipedia (Upper Suriname River),no
261,Pingpe,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.02,-56.040,medium,Village on Upper Suriname; Mambijai and Daume listed nearby,Wikipedia (Upper Suriname River),no
262,Pokigron,,,,Saramaka,Suriname,Upper Suriname River (northern end),Boven Suriname,4.49151,-55.3661,high,Main village at southern end of paved road (via Brownsweg / Avobakaweg); gateway to Upper Suriname River villages; MZ health post confirmed; all villages south of Pokigron boat-access only; GPS verified by Google Earth,Wikipedia (Boven Suriname / Pikin Slee),yes
263,Saramaka quarter Kourou,,,,Saramaka,French Guiana,Coastal FG — Kourou,Kourou commune,5.167,-52.636,high,Saramaka neighbourhood of Kourou; Saramaka arrived 1967 to build Guiana Space Centre; shanty town became integrated neighbourhood; ~300 houses rebuilt 1991; main language is Sranan Tongo not French; significant community of Saramaka diaspora,Wikipedia (Saramaka French Guiana),no
264,Semoisi,Semoisie,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.1,-56.000,medium,Medical post; village on Upper Suriname,Wikipedia (Upper Suriname River),no
265,Soekoenale,Sukunale,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.600,-55.520,medium,Saramaka village with MZ health post; named in MZ ENT screening report (2016) alongside Goejaba Jaw Jaw Pokigron Duatra as villages served by Ladoani clinic; confirmed by MZ clinic list,Wikipedia (Medische Zending) / MZ news article,yes
266,Solan,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.035132,-55.4587,high,Saramaka village; Boven Suriname resort; Planbureau 2013; GPS verified by Google Earth,Planbureau Suriname Table 3.3 Sipaliwini 2013,no
267,Soolan,,,,Saramaka,Suriname,Upper Suriname River / Gran Rio source,Boven Suriname,3.8,-56.220,medium,Near Goddo and Djumu at source of Upper Suriname,Wikipedia (Upper Suriname River),no
268,Stonhuku,,,,Saramaka,Suriname,Upper Suriname River (Gran Rio area),Boven Suriname,3.76,-56.110,medium,Village in Gran Rio / upper area on Upper Suriname list,Wikipedia (Upper Suriname River),no
269,Stonuku,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,3.888591,-55.571976,high,Saramaka village; Boven Suriname resort; Planbureau 2013; GPS verified by Google Earth,Planbureau Suriname Table 3.3 Sipaliwini 2013,no
270,Tjali kondre,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,,,low,Saramaka village; Boven Suriname resort; Planbureau 2013; electricity; piped water; church: VE,Planbureau Suriname Table 3.3 Sipaliwini 2013,no
271,Toni,,,,Saramaka,Suriname,Upper Suriname River (rapid/village),Boven Suriname,4.72,-55.530,low,Rapid named after nearby village on Upper Suriname,Wikipedia (Upper Suriname River),no
272,Tumaripa,,,,Saramaka,Suriname,Upper Suriname River,Boven Suriname,4.120507,-55.446337,high,Village on Upper Suriname River list; GPS verified by Google Earth,Wikipedia (Upper Suriname River),no
273,Wakibasoe 1,Wakibasoe,,,Saramaka,Suriname,Lower Suriname River / Brokopondo area,Brownsweg,5.01,-55.180,low,Saramaka transmigration village; one of three Wakibasoe settlements near Brownsweg; 4 basjas; Planbureau 2013; confirmed as separate village by Wikipedia (Brownsweg article),Planbureau Suriname Table 3 Brokopondo 2013,no
274,Wakibasoe 2,Wakibasoe,,,Saramaka,Suriname,Lower Suriname River / Brokopondo area,Brownsweg,5.012,-55.182,low,Saramaka transmigration village; one of three Wakibasoe settlements; 9 basjas; Planbureau 2013; confirmed as separate village by Wikipedia (Brownsweg article),Planbureau Suriname Table 3 Brokopondo 2013,no
275,Wakibasoe 3,Wakibasoe,,,Saramaka,Suriname,Lower Suriname River / Brokopondo area,Brownsweg,5.014,-55.184,low,Saramaka transmigration village; one of three Wakibasoe settlements; 9 basjas; Planbureau 2013; confirmed as separate village by Wikipedia (Brownsweg article),Planbureau Suriname Table 3 Brokopondo 2013,no
276,Afobaka,,,,Saramaka / Ndyuka,Suriname,Suriname River (Afobaka Dam),Brownsweg,4.993,-55.094,high,Town at Afobaka Dam; MZ health centre confirmed; GLO school (OS) 5 teachers 60 pupils; gateway to Brokopondo Reservoir; mixed Saramaka and Ndyuka population displaced by dam construction 1964; Planbureau 2013; airstrip: Afobakka (private),Planbureau Suriname Table 4 Brokopondo 2013 / MZ list,yes
277,Brownsweg,,,,Saramaka / mixed,Suriname,Lower Suriname River / Brokopondo road,Brownsweg,5.003,-55.175,high,Town at end of paved Afobaka road; gateway to Brokopondo Reservoir and Brownsberg Nature Park; mainly Saramaka transmigration population; MZ health post; road access to Pokigron via Avobakaweg; MZ poli confirmed; patient base ~4170; 1 GZA; 7 assistants; ambulance present; pharmacy,Wikipedia (Boven Suriname / Pokigron),yes
278,Santigron,,,,Saramaka / mixed,Suriname,Saramacca River (lower / near Paramaribo),Wanica/Lelydorp,5.72,-55.460,high,"Maroon village 30km from Paramaribo on Saramacca River; mixed Ndyuka, Saramaka and Matawai; ~1750 residents; tourist destination",Wikipedia (Santigron),no
279,Kawemhakan,Anapaikë,,,Wayana (Indigenous),Suriname,Lawa River,Tapanahony,3.411659,-54.026776,high,[NON-MAROON — Indigenous settlement included for geographic context] Wayana (Amerindian — not Maroon) village on Lawa River; former name Anapaikë; MZ clinic taken over from Baptist missionaries 1968; Lawa Anapaike Airstrip; school; telecom tower since 2016; 4.5km downstream of Kulumuli/Taluwen; closest village to Élahé FG across river; included here as MZ health post location for completeness; GPS verified by Google Earth,Wikipedia (Kawemhakan),yes
280,Talhuwen,,,,Wayana (Indigenous),French Guiana,Lawa River / French Guiana,French Guiana,3.381607,-54.049214,high,[NON-MAROON — Indigenous settlement included for geographic context] Wayana (Indigenous) village; GPS verified by Google Earth,Google Earth KML — kwierenga,no
